Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Roosting","পাখির আশ্রয় বা বিশ্রাম নেওয়া / আড্ডা","Perching, nesting, resting, settling","Flying, soaring, roaming","Settling or congregating for rest or sleep, as birds do.","Waking up in darkness, gazing at the fig-tree, I behold Dawn's swallows roosting under huge umbrella-like leaves.","Unit 3: Lesson 1 (Myths of Bengal)"
"Incomparable","অতুলনীয় / যার কোনো সমকক্ষ বা তুলনা নেই","Peerless, matchless, unrivaled, extraordinary, singular","Ordinary, mediocre, common, comparable","Matchless; so good or exceptional as to be beyond all comparison.","When long, long ago, Chand came in his honeycombed boat To a blue Hijal, Bat and Tamal shade near the Champa, he too sighted Bengal's incomparable beauty.","Unit 3: Lesson 1 (Myths of Bengal)"
"Waning","হ্রাসমান / ক্ষয়িষ্ণু / অস্তগামী","Diminishing, fading, subsiding, receding, declining","Waxing, growing, expanding, intensifying","Decreasing in vigor, power, or lunar brightness.","One day, alas, in the Ganguri, On a raft, as the waning moon sank on the river's sandbanks, Behula too saw countless aswaths and bats besides golden ricefields And heard the thrush's soft song.","Unit 3: Lesson 1 (Myths of Bengal)"
"Wagtail","খঞ্জনা পাখি / দ্রুত লেজ নাড়ানো পাখি","Small songbird, motacilla, passerine","Bird of prey","A small songbird with a long tail that wags incessantly up and down.","One day, arriving in Amara, Where gods held court, when she danced like a desolate wagtail, Bengal's rivers, fields, flowers, wailed like strings of bells on her feet.","Unit 3: Lesson 1 (Myths of Bengal)"
"Terrorize","আতঙ্কিত করা / ভয় দেখানো / ত্রাস সৃষ্টি করা","Intimidate, menace, frighten, petrify, oppress","Reassure, comfort, console, soothe","To make someone feel extremely frightened by threatening harm.","On the island of Crete, the fearsome Minotaur, a creature that was half-man and half-bull, terrorized the inhabitants.","Unit 3: Lesson 2 (Icarus)"
"Masterful","অত্যন্ত দক্ষ / নিপুণ / কর্তৃত্বপূর্ণ","Skillful, expert, adept, accomplished, proficient","Clumsy, amateurish, inept, incompetent","Performed or producing work with outstanding skill or artistry.","To contain the beast, King Minos enlisted the help of Daedalus, a masterful architect and inventor.","Unit 3: Lesson 2 (Icarus)"
"Labyrinth","জটিল গোলকধাঁধা / পথভ্রান্তিকর ফাঁদ","Maze, web, tangle, complex network, winding path","Straight pathway, clear passage","A complicated irregular network of passages or paths in which it is difficult to find one's way.","Daedalus constructed an intricate labyrinth so complex that escape was nearly impossible.","Unit 3: Lesson 2 (Icarus)"
"Gruesome","বীভৎস / ভয়াবহ / লোমহর্ষক পরিণতি","Horrific, grisly, macabre, ghastly, dreadful","Pleasant, attractive, delightful, charming","Extremely unpleasant and shocking, usually dealing with death or injury.","Once the Minotaur was imprisoned within the maze, King Minos believed he had the perfect trap for his enemies, who would be sent into the labyrinth to meet a gruesome end.","Unit 3: Lesson 2 (Icarus)"
"Heeded","মনোযোগ দিয়েছিল / সতর্কবার্তা মেনে চলেছিল","Observed, obeyed, paid attention to, complied with","Ignored, disregarded, defied, overlooked","Paid careful attention to advice or a warning.","Initially, Icarus heeded his father's advice, but soon, overwhelmed by the excitement of the flight, he soared higher and higher, forgetting the warning.","Unit 3: Lesson 2 (Icarus)"
"Miracles","অলৌকিক ঘটনা / আশ্চর্য পরাবাস্তব ক্ষমতা","Wonders, marvels, supernatural events, divine signs","Natural occurrences, ordinary events","Surprising and welcome events that cannot be explained by natural laws.","He was credited with many miracles.","Unit 3: Lesson 3 (The Legend of Gazi)"
"Docile","শান্ত / অনুগত / সহজে বশ মানে এমন","Tame, submissive, compliant, gentle, obedient","Ferocious, wild, untamable, defiant","Ready to accept control or instruction; submissive and calm.","For example, he could supposedly calm dangerous animals and make them docile.","Unit 3: Lesson 3 (The Legend of Gazi)"
"Predatory","শিকারি / হিংস্র স্বভাবসম্পন্ন / মাংসাশী","Carnivorous, hunting, raptorial, ravaging","Harmless, herbivorous, domesticated","Relating to animals preying naturally on others.","Because of his alert and vigilant presence, all predatory animals were said to have been kept within bounds.","Unit 3: Lesson 3 (The Legend of Gazi)"
"Depicted","চিত্রায়িত / ক্যানভাসে অঙ্কিত বা বর্ণিত","Portrayed, represented, illustrated, rendered, sketched","Concealed, hidden, misrepresented","Represented by a drawing, painting, or other art form.","He is usually depicted in paats or scroll paintings riding a fierce-looking Bengal tiger, a snake in his hand, but in no apparent danger.","Unit 3: Lesson 3 (The Legend of Gazi)"
"Interdependence","পারস্পরিক নির্ভরশীলতা / অচ্ছেদ্য সম্পর্ক","Mutual reliance, interconnectedness, mutuality","Independence, detachment, isolation","The dependence of two or more people or things on each other.","She realized the interdependence that links people and climate in myriad ways.","Unit 3: Lesson 4 (Khona)"
"Astrologer","জ্যোতিষী / ভাগ্য গণনাকারী ব্যক্তি","Stargazer, seer, horoscopist, soothsayer","Astronomer, scientist","A person who uses astrology to tell others about their character, or to predict future events.","As he grew up in the royal court, he married the king's daughter, an astrologer herself, named Lila.","Unit 3: Lesson 4 (Khona)"
"Destined","পূর্বনির্ধারিত / ভাগ্যে নির্ধারিত","Fated, predetermined, bound, intended, doomed","Accidental, random, uncertain","According with a plan or pre-ordained destiny; certain to happen.","Worried about his son's future, Varaha saw in the stars that Mihir was destined for a life of trouble and death.","Unit 3: Lesson 4 (Khona)"
"Afloat","ভাসমান অবস্থায় / ভেসে থাকা","Floating, buoyant, adrift, sailing","Sunken, submerged, sunk","Floating in water; not sinking below the surface.","Heartbroken, Varaha decided to save Mihir by placing him in a copper pot and setting the pot afloat on the river Viddyadhory.","Unit 3: Lesson 4 (Khona)"
"Predictions","ভবিষ্যদ্বাণী / পূর্বাভাস / ভবিষ্যজ্ঞান","Prophecies, forecasts, divinations, prognostications","Historical records, recollections","Things predicted; statements about what will happen in the future.","Lila and Mihir managed to find Varaha and prove that his predictions about Mihir's future had been wrong.","Unit 3: Lesson 4 (Khona)"
